Id: 2, Название: Самолетик, Вероятность выпадения: 0,40
Id: 3, Название: Кукла, Вероятность выпадения: 0,50
Id: 3, Название: Кукла, Вероятность выпадения: 0,50
Id: 3, Название: Кукла, Вероятность выпадения: 0,50
Id: 3, Название: Кукла, Вероятность выпадения: 0,50
Id: 3, Название: Кукла, Вероятность выпадения: 0,50
Id: 4, Название: Машинка, Вероятность выпадения: 0,70
Id: 5, Название: Матрешка, Вероятность выпадения: 0,80
Id: 5, Название: Матрешка, Вероятность выпадения: 0,80
Id: 5, Название: Матрешка, Вероятность выпадения: 0,80
Id: 5, Название: Матрешка, Вероятность выпадения: 0,80
